ticker,company,cik
ATLCP,Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock no par value per share,1464343.0
ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,1464343.0
ATLN,Atlantic International Corp. Common Stock,1605888.0
ATLO,Ames National Corporation Common Stock,1132651.0
ATLX,Atlas Lithium Corporation Common Stock,1540684.0
ATNI,ATN International Inc. Common Stock,879585.0
ATOM,Atomera Incorporated Common Stock,1420520.0
ATON,AlphaTON Capital Corp. Common Stock,1095435.0
ATOS,Atossa Therapeutics Inc. Common Stock,1488039.0
ATPC,Agape ATP Corporation Common Stock,1713210.0
ATRA,Atara Biotherapeutics Inc. Common Stock,1604464.0
ATRC,AtriCure Inc. Common Stock,1323885.0
ATRO,Astronics Corporation Common Stock,8063.0
ATXG,Addentax Group Corp. Common Stock,1650101.0
ATYR,aTyr Pharma Inc. Common Stock,1339970.0
AUBN,Auburn National Bancorporation Inc. Common Stock,750574.0
AUDC,AudioCodes Ltd. Common Stock,1086434.0
AUGO,Aura Minerals Inc. Common Shares,1468642.0
AUID,authID Inc. Common Stock,1534154.0
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,1600620.0
AUR,Aurora Innovation Inc. Class A Common Stock,1828108.0
AURA,Aura Biosciences Inc. Common Stock,1501796.0
AURE,Aurelion Inc. Class A Ordinary Shares,1765850.0
AUROW,Aurora Innovation Inc. Warrant,1828108.0
AUTL,Autolus Therapeutics plc American Depositary Share,1730463.0
AUUD,Auddia Inc. Common Stock,1554818.0
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,1832332.0
AVAV,AeroVironment Inc. Common Stock,1368622.0
AVBH,Avidbank Holdings Inc. Common stock,1443575.0
AVBP,ArriVent BioPharma Inc. Common Stock,1868279.0
AVGO,Broadcom Inc. Common Stock,1730168.0
AVIR,Atea Pharmaceuticals Inc. Common Stock,1593899.0
AVNW,Aviat Networks Inc. Common Stock,1377789.0
AVO,Mission Produce Inc. Common Stock,1802974.0
AVPT,AvePoint Inc. Class A Common Stock,1777921.0
AVR,Anteris Technologies Global Corp. Common Stock,2011514.0
AVT,Avnet Inc. Common Stock,8858.0
AVTX,Avalo Therapeutics Inc. Common Stock,1534120.0
AVX,Avax One Technology Ltd. Common Shares,1826397.0
AVXL,Anavex Life Sciences Corp. Common Stock,1314052.0
AWRE,Aware Inc. Common Stock,1015739.0
AXG,Solowin Holdings Class A Ordinary Share,1959224.0
AXGN,Axogen Inc. Common Stock,805928.0
AXIN,Axiom Intelligence Acquisition Corp 1 Class A Ordinary Shares,2057030.0
AXINR,Axiom Intelligence Acquisition Corp 1 Right,2057030.0
AXON,Axon Enterprise Inc. Common Stock,1069183.0
AXSM,Axsome Therapeutics Inc. Common Stock,1579428.0
AXTI,AXT Inc Common Stock,1051627.0
AYTU,Aytu BioPharma Inc.  Common Stock,1385818.0
AZ,A2Z Cust2Mate Solutions Corp. Common Shares,1866030.0
AZI,Autozi Internet Technology (Global) Ltd. Class A Ordinary Shares,1959726.0
AZTA,Azenta Inc.,933974.0
BACC,Blue Acquisition Corp. Class A Ordinary Shares,2059654.0
BACCR,Blue Acquisition Corp. Right,2059654.0
BACCU,Blue Acquisition Corp. Unit,2059654.0
BACQ,Inflection Point Acquisition Corp. IV Class A Ordinary Shares,2028707.0
BACQR,Inflection Point Acquisition Corp. IV Right,2028707.0
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,1941536.0
BAERW,Bridger Aerospace Group Holdings Inc. Warrant,1941536.0
BAFN,BayFirst Financial Corp. Common Stock,1649739.0
BAND,Bandwidth Inc. Class A Common Stock,1514416.0
BANF,BancFirst Corporation Common Stock,760498.0
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,760498.0
BANL,CBL International Limited Class B Ordinary Shares,1914805.0
BANR,Banner Corporation Common Stock,946673.0
BANX,ArrowMark Financial Corp. Common Stock,1578987.0
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,1811216.0
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,1958140.0
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,1958140.0
BAYA,Bayview Acquisition Corp Ordinary Shares,1969475.0
BAYAR,Bayview Acquisition Corp Right,1969475.0
BBCP,Concrete Pumping Holdings Inc. Common Stock,1703956.0
BBCQ,Bleichroeder Acquisition Corp. II Class A Ordinary Shares,2088295.0
BBCQU,Bleichroeder Acquisition Corp. II Units,2088295.0
BBCQW,Bleichroeder Acquisition Corp. II Warrants,2088295.0
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,1099160.0
BBIO,BridgeBio Pharma Inc. Common Stock,1743881.0
BBLG,Bone Biologics Corp Common Stock,1419554.0
BBLGW,Bone Biologics Corp Warrants,1419554.0
BBNX,Beta Bionics Inc. Common Stock,1674632.0
BBOT,BridgeBio Oncology Therapeutics Inc. Common Stock,1869105.0
BBSI,Barrett Business Services Inc. Common Stock,902791.0
BCAB,BioAtla Inc. Common Stock,1826892.0
BCAL,California BanCorp Common Stock,1795815.0
BCAR,D. Boral ARC Acquisition I Corp. Class A Ordinary Shares,2065779.0
BCARU,D. Boral ARC Acquisition I Corp. Units,2065779.0
BCARW,D. Boral ARC Acquisition I Corp. Warrant,2065779.0
BCAX,Bicara Therapeutics Inc. Common Stock,2023658.0
BCBP,BCB Bancorp Inc. (NJ) Common Stock,1228454.0
BCDA,BioCardia Inc. Common Stock,925741.0
BCG,Binah Capital Group Inc. Common Stock,1953984.0
BCIC,BCP Investment Corporation Common Stock,1372807.0
BCML,BayCom Corp Common Stock,1730984.0
BCPC,Balchem Corporation Common Stock,9326.0
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,882796.0
